EVY,,34 Squadron, Royal Australian Air Force,Australia,,
,GNL,135 Airways,GENERAL,United States,
1A,n/a,Amadeus IT Group S.A.,n/a,Global,GDS and airline hosting system (CRS/PSS)
1B,n/a,Sabre travel network Asia-Pacific (ex-Abacus),n/a,APAC,Regional distribution
1E,n/a,Travelsky,n/a,China,Local distribution system and hosting system (CRS/PSS)
1F,n/a,Infini travel information, Inc.,n/a,Japan,Local distribution system (CRS)
1G,n/a,Travelport (Galileo core),n/a,Global,GDS (CRS)
1H,n/a,Sirena travel,n/a,Russia,Local distribution system (CRS) and PSS
1J,n/a,Axess international network, Inc.,n/a,Japan,Local distribution system (CRS)
1K,n/a,AIRKIOSK,n/a,Global,Local distribution system (CRS) and PSS
1J,n/a,Axess international network, Inc.,n/a,Japan,Local distribution system (CRS)
1M,n/a,Sirin,n/a,Russia,Local distribution system (CRS) and PSS
1P,n/a,Travelport (Worldspan core),n/a,Global,GDS (CRS)
1S,n/a,Sabre travel network,n/a,Global,GDS and airline hosting system (CRS/PSS)
1T,n/a,Hitit Computer Services,n/a,Turkey,Computer reservation system
1U,n/a,Google/ITA,n/a,United States,Airline IT provider
2T,TBS,Timbis Air,,Kenya,
,WYT,2 Sqn No 1 Elementary Flying Training School,WYTON,United Kingdom,Royal Air Force
,TFU,213th Flight Unit,THJY,Russia,State Airline
,CHD,223rd Flight Unit,CHKALOVSK-AVIA,Russia,State Airline
,TTF,224th Flight Unit,CARGO UNIT,Russia,State Airline
,TWF,247 Jet Ltd,CLOUD RUNNER,United Kingdom,
,SEC,3D Aviation,SECUREX,United States,
3J,JUB,Jubba Airways,,Kenya,Registered in Kenya but operates in Somalia
Q5,MLA,40-Mile Air,MILE-AIR,United States,
,QRT,4D Air,QUARTET,Thailand,Defunct
,PIU,43 Air School,PRIMA,South Africa,
4D,ASD,Air Sinai,,Egypt,
4R,SEK,Star East Airline,,Romania,
4O,AIJ,Interjet,ABC Aerolineas,Mexico,Defunct in 2020
7A,XRC,Express Air Cargo,,Tunisia,
7B,UBE,Bees Airline,Flower Bee,Ukraine,Established 2019, started 2021.
7S,RYA,Ryan Air Services,RYAN AIR,United States,
,BRO,2Excel Aviation,BROADSWORD,United Kingdom,
A2,AWG,Animawings,ANIMA WINGS,Romania,
,WSN,Advanced Air,WINGSPAN,United States,2015
,GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,Austria,
,AJR,A-Jet Aviation Company,JET MONGOLIA,Mongolia,
,SFM,A-Safar Air Services,AIR SAFAR,Nigeria,
,AJJ,A2 Jet Leasing,ATLANTIC JET,United States,
,XXV,AASANA,,Bolivia,
,LEP,Air Costa,LECOSTA,India,2014,commenced operations Feb. 2017
,NKP,Abakan Air,ABAKAN AIR,Russian Federation,2014
,ADD,Advanced Air Co.,,Japan,2014guck
,OWN,Aero Owen,AERO OWEN,Mexico,2014
,ASR,Aero Sotravia,SOTRAVIA,France,2014
,ARH,Aerohelicopteros,AEROHELCA,Venezuela,2014
,VMX,Aeroventas de Mexico,VENTA,Mexico,2014
WP,ATW,Air Antwerp,DEVIL,Belgium,
,ACC,Airspeed Charter,,Jamaica,2014
,FSY,Algonquin Airlink,FROSTY,Canada,2014
,TTX,Alliance Air Charters,TWISTER,United States,
,ALN,Alpha Jet, S.R.O.,TOLEMAC,Slovakia,2014
,UJX,Atlas Ukraine Airlines,ATLAS UKRAINE,Ukraine,2014
,RGR,Avior Regional,AVIOR REGIONAL,Venezuela,2014
,NGF,Air Charity Network,ANGEL FLIGHT,United States,Re-allocated in 2014 was used by�Angel Flight America
,WFT,Aircharters Worldwide,WORLD FLIGHT,United States,Allocated 2014
,ATT,Attawasol Airlines,ATTAWASOL AIR,Libya,
,EDY,Apollo Air Service,STOBART,United Kingdom,Was VLL Limited
JY,IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands,Name changed from�Interisland Airways Limited�and�Air Turks & Caicos
JU,ASL,Air Serbia,AIR SERBIA,Serbia,Name changed from Aeroput to JAT Yugoslav Airlines to Jat Airways to Air Serbia. Formerly used JAT as ICAO code.
QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,Name changed from�Kyrgyzstan
XK,CCM,Air Corsica,CORSICA,France,
,AHS,AHS Air International,HIGH SKY,Pakistan,
,ROH,Aberdair Aviation Ghana,,Ghana,
,ROO,Aero Roa,AERO ROA,Mexico,
,AWF,Aeroforward,,United States,
,SUP,Aeronautical Charters,SUN SPEED,United States,
,PSO,Aerotaxis Pegaso,AEROPEGASO,Mexico,
EI,EIN,Aer Lingus,SHAMROCK,Ireland,
,VLB,Air Volta,VOLTA,Bulgaria,
,WAS,Air-Watania,,Iraq,
,FCJ,AirSprint US,FRACJET,United States,Previously used code HAB
,TEW,Airteam Charter,TEAMWORK,South Africa,
,STT,Alpha Star Charter,STAR CHARTER,Saudi Arabia,
,LBZ,Angkasa Super Service,,Indonesia,
,HEZ,Arrow Aviation,ARROW,Israel,
,UAH,Air Experience Flight,�Cranwell,,United Kingdom,Royal Air Force
,DRO,Adro Servicios Aereos,ADRO SERVICIOS,Mexico,
,RVQ,Aero Jet International,REVA AIR,United States,
,ASK,Aerosky,MULTISKY,Spain,
,AEH,Aero4m,AEROCUTTER,Slovenia,
,ERO,Aeroecom,AEROECOM,Venezuela,
A8,XAU,Aerolink Uganda,PEARL,Uganda,
,NKY,Aeromonkey,AEROMON,Mexico,
,AWP,Aeroworld Pakistan,,Pakistan,
,AGA,AG Air,GEOLINE,Georgia,
,ABZ,Air Ambulance Services,ISLAND LIFEFLIGHT,Bahamas,
RV,ROU,Air Canada Rouge,ROUGE,Canada,
,CNM,Air China Inner Mongolia,MENGYUAN,China,
,VRE,Air C�te d'Ivoire,COTE DIVORIE,Ivory Coast,
,AWL,Air Walser,,Malta,
,AXY,Air X Charter,LEGEND,Malta,
,OES,ART Aviation,ART AUSTRIA,Austria,
,ASF,Austrian Air Force,AUSTRIAN AIRFORCE,Austria,
,AVG,Aviation Legacy,AVILEF,Gambia,
7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States,
1B,,Abacus International,,Singapore,Computer reservation system
W9,AAB,Abelag Aviation,ABG,Belgium,
6U,ACX,Air Cargo Germany,LOADMASTER,Germany,defunct
,AAD,Aero Aviation Centre Ltd.,SUNRISE,Canada,Ceased operations 1995
,SII,Aero Servicios Ejecutivos Internacionales,ASEISA,Mexico,
,BZS,Aero Biniza,BINIZA,Mexico,
,,Aero Comondu,AERO COMONDU,Mexico,
,AET,Aero-Palma,AERO PALMA,Spain,defunct
,ABM,Aero Albatros,ALBATROS ESPANA,Spain,
E4,RSO,Aero Asia International,AERO ASIA,Pakistan,defunct
ZI,AAF,Aigle Azur,AIGLE AZUR,France,Former name:�Lucas Aigle Azur; former IATA code: LK
,AAM,Aim Air,,Moldova,
,AAO,Atlantis Airlines (USA),ATLANTIS AIR,United States,
,AAP,Aerovista Airlines,AEROVISTA GROUP,Kyrgyzstan,defunct
AE,AE,Air Ceylon,,Sri Lanka,defunct
OZ,AAR,Asiana Airlines,ASIANA,Republic of Korea,
4K*,AAS,Askari Aviation,AL-ASS,Pakistan,
,AAU,Australia Asia Airlines,AUSTASIA,Australia,Subsidiary merged into�Qantas; former IATA code: IM
,AAV,Astro Air International,ASTRO-PHIL,United States,
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya,
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia,defunct, ICAO code no longer allocated
,AAX,Afric'air Express,AFREX,C�te d'Ivoire,defunct
,BRL,Air Brasd'or,BRASD'OR,Canada,
,AFH,Air Fecteau,FECTO,Canada,defunct
,BRM,Air 500,BOOMERANG,Canada,defunct
,AAG,Atlantic Flight Training,ATLANTIC,United Kingdom,Changed from Air Atlantique in 2014
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom,Former name:�Atlantic Air Transport; former IATA codes: 7M, DG, transferred to Atlantic Flight Training in 2014.
QB,AAJ,Air Alma,AIR ALMA,Canada,Ceased operations 10/01/2002; former IATA code: 4L
,ACS,Air Cess,,Liberia,defunct
,ADT,Air Dorval,AIR DORVAL,Canada,defunct
,AHN,Air Hungaria,AIR HUNGARIA,Hungary,
,AHR,Air Adriatic,ADRIATIC,Croatia,defunct
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong,
,AHS,Air Viggi San Raffaele,AIRSAR,Italy,
,AEQ,Air Express,LUNA,Sweden,
,AAI,Air Aurora,BOREALIS,United States,Former IATA code: AX
,ACU,Air Cargo Transportation System,AFRISPIRIT,Kenya,
UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka,
,ACV,Air Charter Service,,United Kingdom,ICAO code no longer allocated
,ADC,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic,defunct
,ADW,Air Andaman,AIR ANDAMAN,Thailand,defunct 2004
UX,AEA,Air Europa,EUROPA,Spain,
IG,AEY,Air Italy,AIR ITALY,Italy,merged into�Meridiana
,ASW,Air Southwest Ltd.,AIRSOUTHWEST,Canada,defunct
,ASX,Air Special,AIRSPEC,Czech Republic,
NX,AMU,Air Macau,AIR MACAO,Macao,
ZV,AMW,Air Midwest,AIR MIDWEST,United States,defunct
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles,
,SFB,Air Sofia,AIR SOFIA,Bulgaria,defunct
,BRF,Air Bravo,AIR BRAVO,Uganda,
AF,AFR,Air France,AIRFRANS,France,
,ACG,Air Partner,AIR PARTNER,United Kingdom,
SB,ACI,Air Caledonie International,AIRCALIN,France,
,VSG,AirClass Airways,VISIG,Spain,formerly Visig Operaciones A�reas
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan,merged into�ANA Wings
,ALM,Air ALM,ANTILLEAN,Netherlands Antilles,defunct
,ALN,Air Lincoln,CHICAGO LINCOLN,United States,
,ACM,Air Caledonia,WEST CAL,Canada,
,AGM,Air Guam,AIR GUAM,United States,
ZW,AWI,Air Wisconsin,WISCONSIN,United States,
,ALU,Air Luxor STP,LUXORJET,S�o Tom� and Pr�ncipe,
YI,RSI,Air Sunshine,AIR SUNSHINE,United States,
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon,defunct
,AFS,Air Data,,United Kingdom,
,AFV,Air Afrique Vacancies,AFRIQUE VACANCE,C�te d'Ivoire,
NQ,AJX,Air Japan,AIR JAPAN,Japan,
VD,LIB,Air Libert�,AIR LIBERTE,France,defunct
TT,KLA,Air Lithuania,KAUNAS,Lithuania,defunct
,AMG,Air Minas Linhas A�reas,AIR MINAS,Brazil,defunct
4N,ANT,Air North Charter�- Canada,AIR NORTH,Canada,
,ANV,Air Nevada,AIR NEVADA,United States,
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand,NZused by�New Zealand National Airways Corporation�until its merger with Air New Zealand in 1978
TE,,,,,TEused by�TEAL�from 1940-1965, then Air New Zealand from 1965-1990
,AOE,Air One Executive,,Italy,
,AMI,Air Maldives,AIR MALDIVES,Maldives,defunct
QM,AML,Air Malawi,MALAWI,Malawi,
,AMN,Air Montenegro,MONTENEGRO,Montenegro,
ML,BIE,Air Mediterranee,MEDITERRANEE,France,defunct
P8,MKG,Air Mekong,MEKONG,Vietnam,defunct
,TAH,Air Moorea,AIR MOOREA,France,defunct
,AVZ,Air Valencia,AIR VALENCIA,Spain,
,AMO,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada,
BM,,Air Sicilia,,Italy,defunct
,AMR,Air Specialties Corporation,AIR AM,United States,Air American,�Total Air
,AMS,Air Muskoka,AIR MUSKOKA,Canada,
,AOJ,Avcon Jet,ASTERIX,Austria,
,AJU,Air Jetsul,AIRJETSUL,Portugal,
,AKA,Air Korea Co. Ltd.,,Republic of Korea,
,LIV,Air Livonia,LIVONIA,Estonia,defunct
ZX,ABL,Air BC,AIRCOACH,Canada,Merged into�Air Canada Jazz
,ABN,Air Fret Senegal,,Senegal,
